	category	explicitness	main_type	description
147	rib	no-sexual	body	rib
148	lubrication	explicitly-sexual	body	lubrification
149	face	no-sexual	body	face
150	flesh	implicitly-sexual	body	flesh
151	blood	no-sexual	body	blood
152	umbilical-cord	no-sexual	body	umbilical-cord
153	body-function	implicitly-sexual	body	body functions
154	birth	implicitly-sexual	body	birth
155	fertilization	explicitly-sexual	body	fertilization
156	misscarriage	implicitly-sexual	body	misscarriage
157	erection	explicitly-sexual	body	erection
158	menstruation	implicitly-sexual	body	menstruation
159	sleep	no-sexual	body	sleep
160	diseases	implicitly-sexual	body	corporal and sexual diseases
161	menstrual-disorder	implicitly-sexual	body	menstrual disorder
162	senses	no-sexual	body	senses
163	smell	no-sexual	body	smell
164	things	no-sexual	things	things
165	clothes	no-sexual	things	clothes
166	belt	no-sexual	things	belt
167	veil	no-sexual	things	veil
168	skirt	no-sexual	things	skirt
169	underwear	implicitly-sexual	things	underwear
170	male-underwear	implicitly-sexual	things	male underwear
171	female-underwear	implicitly-sexual	things	female underwear
172	perfume	no-sexual	things	perfume
173	juwels	no-sexual	things	juwels
174	earrings	no-sexual	things	earrings
175	piercing	no-sexual	things	piercing
176	collar	no-sexual	things	collar
177	bracelet	no-sexual	things	bracelet
178	food-and-related	no-sexual	things	food and food-related objects
179	drink	no-sexual	things	drink
180	water	no-sexual	things	water
181	milk	no-sexual	things	milk
182	wine	no-sexual	things	wine
183	alcohol	no-sexual	things	alcohol
184	glass	no-sexual	things	glass
185	oil	no-sexual	things	oil
186	spices	no-sexual	things	spices
187	wheat	no-sexual	things	wheat
188	honey	no-sexual	things	honey
189	fruits	no-sexual	things	fruits
190	pomegranate	no-sexual	things	pomegranate
191	grapes	no-sexual	things	grapes
192	raisin	no-sexual	things	raisin
193	apples	no-sexual	things	apples
194	figs	no-sexual	things	figs
195	carriage	no-sexual	things	carriage
196	weapons	no-sexual	things	weapons
197	sword	no-sexual	things	sword
198	shield	no-sexual	things	shield
199	money	no-sexual	things	money
200	metal	no-sexual	things	metal
201	silver	no-sexual	things	silver
202	gold	no-sexual	things	gold
203	fountain	no-sexual	things	fountain
204	well	no-sexual	things	well
205	pitcher	no-sexual	things	pitcher
206	sexual-object	explicitly-sexual	things	sexual-object
207	make-up	no-sexual	things	make-up
208	song	no-sexual	things	song
209	environment	no-sexual	things	environment
210	moon	no-sexual	things	moon
211	sun	no-sexual	things	sun
212	rain	no-sexual	things	rain
213	wind	no-sexual	things	wind
214	places	no-sexual	places	places
215	interior-spaces	no-sexual	places	interior spaces
216	room	no-sexual	places	room
217	bedroom	no-sexual	places	bedroom
218	bed	no-sexual	places	bed
219	door	no-sexual	places	door
220	wall	no-sexual	places	wall
221	house	no-sexual	places	house
222	tower	no-sexual	places	tower
223	exterior-spaces	no-sexual	places	exterior spaces
224	garden	no-sexual	places	garden
225	vineyard	no-sexual	places	vineyard
226	spring	no-sexual	places	spring
227	desert	no-sexual	places	desert
228	river	no-sexual	places	river
229	field	no-sexual	places	field
230	lake	no-sexual	places	lake
231	groups	no-sexual	groups	groups defined by their sexuality
232	based-on-gender	implicitly-sexual	groups	based on gender
233	women	implicitly-sexual	groups	women
234	men	implicitly-sexual	groups	men
235	third-sexual-group	implicitly-sexual	groups	"people who were not born with a clear gender, whose gender does
                              not match their genitals, or that they changed their gender"
236	eunuchs	implicitly-sexual	groups	people without genitals (eunuchs)
237	based-on-orientation	explicitly-sexual	groups	based on orientation
238	heterosexuals	explicitly-sexual	groups	heterosexuals
239	homosexuals	explicitly-sexual	groups	homosexuals
240	male-homosexuals	explicitly-sexual	groups	gays
241	female-homosexuals	explicitly-sexual	groups	lesbians
242	by-state	implicitly-sexual	groups	based on state
243	single	implicitly-sexual	groups	single
244	groom	implicitly-sexual	groups	groom
245	bride	implicitly-sexual	groups	bride
246	married	implicitly-sexual	groups	married
247	widow-widower	implicitly-sexual	groups	widow or widower
248	widow	implicitly-sexual	groups	widow
249	widower	implicitly-sexual	groups	widower
250	virgin	explicitly-sexual	groups	person without sexual experience with other person
251	female-virgin	explicitly-sexual	groups	woman without sexual experience with other person
252	male-virgin	explicitly-sexual	groups	man without sexual experience with other person
253	by-profession	explicitly-sexual	groups	groups based on profession
254	prostitutes	explicitly-sexual	groups	women or men who offer sex for money or goods
255	female-prostitutes	explicitly-sexual	groups	women who offer sex for money or goods
256	male-prostitutes	explicitly-sexual	groups	men who offer sex for money or goods
257	sexual-priests	explicitly-sexual	groups	"people who work in religious instituion and who offer sex as part
                              of religious rituals"
258	concubine	explicitly-sexual	groups	concubine
259	midwife	implicitly-sexual	groups	midwife
260	by-corporal-traits	implicitly-sexual	groups	based on corporal traites
261	circumcised	implicitly-sexual	groups	men who were circumcised
262	uncircumcised	implicitly-sexual	groups	men who were not circumcised
263	animals	no-sexual	animals	animals
264	gazelle	no-sexual	animals	gazelle
265	deer	no-sexual	animals	deer
266	dove	no-sexual	animals	dove
267	fox	no-sexual	animals	fox
268	goat	no-sexual	animals	goat
269	sheep	no-sexual	animals	sheep
270	leopard	no-sexual	animals	leopard
271	lion	no-sexual	animals	lion
272	crow	no-sexual	animals	crow
273	turtledove	no-sexual	animals	turtledove
274	horse	no-sexual	animals	horse
275	donkey	no-sexual	animals	donkey
276	cow	no-sexual	animals	cow
277	camel	no-sexual	animals	camel
278	plants	no-sexual	plants	plants
279	flowers	no-sexual	plants	flowers
280	trees	no-sexual	plants	trees
281	palms	no-sexual	plants	palms
282	time	no-sexual	time	time
283	part-of-the-day	no-sexual	time	part of the day
284	night	no-sexual	time	night
285	sunrise	no-sexual	time	sunrise
286	seasons	no-sexual	time	seasons
287	winter	no-sexual	time	winter
288	valorations	no-sexual	valorations	valorations about acts, relations or states
289	blessed-aspect	no-sexual	valorations	aspects that are observed positively
290	positive-aspect	no-sexual	valorations	aspects that are recommended
291	neutral-aspect	no-sexual	valorations	aspects that are presented without valoration
292	negative-aspect	no-sexual	valorations	sexual problems
293	condemned-aspect	no-sexual	valorations	aspects that are condemned
