	b.ECC.1.1	b.ECC.1.2	b.ECC.1.3	b.ECC.1.4	b.ECC.1.5	b.ECC.1.6	b.ECC.1.7	b.ECC.1.8	b.ECC.1.9	b.ECC.1.10	b.ECC.1.11	b.ECC.1.12	b.ECC.1.13	b.ECC.1.14	b.ECC.1.15	b.ECC.1.16	b.ECC.1.17	b.ECC.1.18	b.ECC.2.1	b.ECC.2.2	b.ECC.2.3	b.ECC.2.4	b.ECC.2.5	b.ECC.2.6	b.ECC.2.7	b.ECC.2.8	b.ECC.2.9	b.ECC.2.10	b.ECC.2.11	b.ECC.2.12	b.ECC.2.13	b.ECC.2.14	b.ECC.2.15	b.ECC.2.16	b.ECC.2.17	b.ECC.2.18	b.ECC.2.19	b.ECC.2.20	b.ECC.2.21	b.ECC.2.22	b.ECC.2.23	b.ECC.2.24	b.ECC.2.25	b.ECC.2.26	b.ECC.3.1	b.ECC.3.2	b.ECC.3.3	b.ECC.3.4	b.ECC.3.5	b.ECC.3.6	b.ECC.3.7	b.ECC.3.8	b.ECC.3.9	b.ECC.3.10	b.ECC.3.11	b.ECC.3.12	b.ECC.3.13	b.ECC.3.14	b.ECC.3.15	b.ECC.3.16	b.ECC.3.17	b.ECC.3.18	b.ECC.3.19	b.ECC.3.20	b.ECC.3.21	b.ECC.3.22	b.ECC.4.1	b.ECC.4.2	b.ECC.4.3	b.ECC.4.4	b.ECC.4.5	b.ECC.4.6	b.ECC.4.7	b.ECC.4.8	b.ECC.4.9	b.ECC.4.10	b.ECC.4.11	b.ECC.4.12	b.ECC.4.13	b.ECC.4.14	b.ECC.4.15	b.ECC.4.16	b.ECC.5.1	b.ECC.5.2	b.ECC.5.3	b.ECC.5.4	b.ECC.5.5	b.ECC.5.6	b.ECC.5.7	b.ECC.5.8	b.ECC.5.9	b.ECC.5.10	b.ECC.5.11	b.ECC.5.12	b.ECC.5.13	b.ECC.5.14	b.ECC.5.15	b.ECC.5.16	b.ECC.5.17	b.ECC.5.18	b.ECC.5.19	b.ECC.5.20	b.ECC.6.1	b.ECC.6.2	b.ECC.6.3	b.ECC.6.4	b.ECC.6.5	b.ECC.6.6	b.ECC.6.7	b.ECC.6.8	b.ECC.6.9	b.ECC.6.10	b.ECC.6.11	b.ECC.6.12	b.ECC.7.1	b.ECC.7.2	b.ECC.7.3	b.ECC.7.4	b.ECC.7.5	b.ECC.7.6	b.ECC.7.7	b.ECC.7.8	b.ECC.7.9	b.ECC.7.10	b.ECC.7.11	b.ECC.7.12	b.ECC.7.13	b.ECC.7.14	b.ECC.7.15	b.ECC.7.16	b.ECC.7.17	b.ECC.7.18	b.ECC.7.19	b.ECC.7.20	b.ECC.7.21	b.ECC.7.22	b.ECC.7.23	b.ECC.7.24	b.ECC.7.25	b.ECC.7.26	b.ECC.7.27	b.ECC.7.28	b.ECC.7.29	b.ECC.8.1	b.ECC.8.2	b.ECC.8.3	b.ECC.8.4	b.ECC.8.5	b.ECC.8.6	b.ECC.8.7	b.ECC.8.8	b.ECC.8.9	b.ECC.8.10	b.ECC.8.11	b.ECC.8.12	b.ECC.8.13	b.ECC.8.14	b.ECC.8.15	b.ECC.8.16	b.ECC.8.17	b.ECC.9.1	b.ECC.9.2	b.ECC.9.3	b.ECC.9.4	b.ECC.9.5	b.ECC.9.6	b.ECC.9.7	b.ECC.9.8	b.ECC.9.9	b.ECC.9.10	b.ECC.9.11	b.ECC.9.12	b.ECC.9.13	b.ECC.9.14	b.ECC.9.15	b.ECC.9.16	b.ECC.9.17	b.ECC.9.18	b.ECC.10.1	b.ECC.10.2	b.ECC.10.3	b.ECC.10.4	b.ECC.10.5	b.ECC.10.6	b.ECC.10.7	b.ECC.10.8	b.ECC.10.9	b.ECC.10.10	b.ECC.10.11	b.ECC.10.12	b.ECC.10.13	b.ECC.10.14	b.ECC.10.15	b.ECC.10.16	b.ECC.10.17	b.ECC.10.18	b.ECC.10.19	b.ECC.10.20	b.ECC.11.1	b.ECC.11.2	b.ECC.11.3	b.ECC.11.4	b.ECC.11.5	b.ECC.11.6	b.ECC.11.7	b.ECC.11.8	b.ECC.11.9	b.ECC.11.10	b.ECC.12.1	b.ECC.12.2	b.ECC.12.3	b.ECC.12.4	b.ECC.12.5	b.ECC.12.6	b.ECC.12.7	b.ECC.12.8	b.ECC.12.9	b.ECC.12.10	b.ECC.12.11	b.ECC.12.12	b.ECC.12.13	b.ECC.12.14
#pla15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#pla18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#org102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#org100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	3	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#org70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
#org131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#org122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#pla30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#org0	0	2	1	2	0	0	0	1	0	2	0	0	2	0	0	1	0	0	0	0	2	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	1	0	0	0	2	3	0	2	1	0	0	0	2	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	2	0	0	0	1	1	0	1	1	2	0	1	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	1	0	0	1	0	1	0	1	2	0	2	0	0	0	1	0	2	1	0	2	1	0	0	0	0	0	0	0	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	1	0	1	2	0	0	0	1	1	0
#per35	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#org150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
