id	NormalizedName-sp	aclaration	variants	comments	book	cert	Gender	NormalizedName-ge	NormalizedName-po	type	nature	definition	importance	order-edition
#pla242	Regio									place	human			ACT
#pla243	Puteoli									place	human			ACT
#pla244	Foro de Apio									place	human			ACT
#pla245	Tres Tabernas									place	human			ACT
#pla246	Edom									place	human			MAL
#pla247	Pitón									place	human			EXO
#pla248	Ramesés									place	human			EXO
#pla249	Madián									place	human			EXO
#pla250	capital de Egipto	en tiempo de Moisés		Cairo?						place	human			EXO
#pla251	Ramesés									place	human			EXO
#pla252	Etam									place	human			EXO
#pla253	Pi-hahirot									place	human			EXO
#pla254	Migdol									place	human			EXO
#pla255	Baal-zefón									place	human			EXO
#pla256	Mara									place	human			EXO
#pla257	Elim									place	human			EXO
#pla258	Sin									place	human			EXO
#pla259	Refidim									place	human			EXO
#pla260	Masah	Meriba								place	human			EXO
#pla261	Jehová-nisi	altar								place	human			EXO
#pla262	templo	móvil								place	human			EXO
#pla263	tabernáculo									place	human			EXO
