;whoid;correspid;Source;Target;Weight;Type
88;#per1;#org3;Jesús;discípulos;1;directed
89;#per1;#org0;Jesús;gente;1;directed
90;#per1;#org3;Jesús;discípulos;1;directed
91;#per1;#org0;Jesús;gente;1;directed
92;#per1;#org3;Jesús;discípulos;1;directed
93;#per1;#org0;Jesús;gente;1;directed
94;#per1;#org3;Jesús;discípulos;1;directed
95;#per1;#org0;Jesús;gente;1;directed
96;#per1;#org3;Jesús;discípulos;1;directed
97;#per1;#org0;Jesús;gente;1;directed
98;#per1;#org3;Jesús;discípulos;1;directed
99;#per1;#org0;Jesús;gente;1;directed
100;#per1;#org3;Jesús;discípulos;1;directed
101;#per1;#org0;Jesús;gente;1;directed
102;#per1;#org3;Jesús;discípulos;1;directed
103;#per1;#org0;Jesús;gente;1;directed
104;#per1;#org3;Jesús;discípulos;1;directed
105;#per1;#org0;Jesús;gente;1;directed
106;#per1;#org3;Jesús;discípulos;1;directed
107;#per1;#org0;Jesús;gente;1;directed
108;#per1;#org3;Jesús;discípulos;1;directed
109;#per1;#org0;Jesús;gente;1;directed
110;#per1;#org3;Jesús;discípulos;1;directed
111;#per1;#org0;Jesús;gente;1;directed
112;#per1;#org3;Jesús;discípulos;1;directed
113;#per1;#org0;Jesús;gente;1;directed
114;#per1;#org3;Jesús;discípulos;1;directed
115;#per1;#org0;Jesús;gente;1;directed
116;#per1;#org3;Jesús;discípulos;1;directed
117;#per1;#org0;Jesús;gente;1;directed
118;#per1;#org3;Jesús;discípulos;1;directed
119;#per1;#org0;Jesús;gente;1;directed
120;#per1;#org3;Jesús;discípulos;1;directed
121;#per1;#org0;Jesús;gente;1;directed
122;#per1;#org3;Jesús;discípulos;1;directed
123;#per1;#org0;Jesús;gente;1;directed
124;#per1;#org3;Jesús;discípulos;1;directed
125;#per1;#org0;Jesús;gente;1;directed
126;#per1;#org3;Jesús;discípulos;1;directed
127;#per1;#org0;Jesús;gente;1;directed
128;#per1;#org3;Jesús;discípulos;1;directed
129;#per1;#org0;Jesús;gente;1;directed
130;#per1;#org3;Jesús;discípulos;1;directed
131;#per1;#org0;Jesús;gente;1;directed
132;#per1;#org3;Jesús;discípulos;1;directed
133;#per1;#org0;Jesús;gente;1;directed
134;#per1;#org3;Jesús;discípulos;1;directed
135;#per1;#org0;Jesús;gente;1;directed
136;#per1;#org3;Jesús;discípulos;1;directed
137;#per1;#org0;Jesús;gente;1;directed
138;#per1;#org3;Jesús;discípulos;1;directed
139;#per1;#org0;Jesús;gente;1;directed
140;#per1;#org3;Jesús;discípulos;1;directed
141;#per1;#org0;Jesús;gente;1;directed
142;#per1;#org3;Jesús;discípulos;1;directed
143;#per1;#org0;Jesús;gente;1;directed
144;#per1;#org3;Jesús;discípulos;1;directed
145;#per1;#org0;Jesús;gente;1;directed
146;#per1;#org3;Jesús;discípulos;1;directed
147;#per1;#org0;Jesús;gente;1;directed
148;#per1;#org3;Jesús;discípulos;1;directed
149;#per1;#org0;Jesús;gente;1;directed
150;#per1;#org3;Jesús;discípulos;1;directed
151;#per1;#org0;Jesús;gente;1;directed
152;#per1;#org3;Jesús;discípulos;1;directed
153;#per1;#org0;Jesús;gente;1;directed
154;#per1;#org3;Jesús;discípulos;1;directed
155;#per1;#org0;Jesús;gente;1;directed
156;#per1;#org3;Jesús;discípulos;1;directed
157;#per1;#org0;Jesús;gente;1;directed
158;#per1;#org3;Jesús;discípulos;1;directed
159;#per1;#org0;Jesús;gente;1;directed
160;#per1;#org3;Jesús;discípulos;1;directed
161;#per1;#org0;Jesús;gente;1;directed
162;#per1;#org3;Jesús;discípulos;1;directed
163;#per1;#org0;Jesús;gente;1;directed
164;#per1;#org3;Jesús;discípulos;1;directed
165;#per1;#org0;Jesús;gente;1;directed
166;#per1;#org3;Jesús;discípulos;1;directed
167;#per1;#org0;Jesús;gente;1;directed
168;#per1;#org3;Jesús;discípulos;1;directed
169;#per1;#org0;Jesús;gente;1;directed
170;#per1;#org3;Jesús;discípulos;1;directed
171;#per1;#org0;Jesús;gente;1;directed
172;#per1;#org3;Jesús;discípulos;1;directed
173;#per1;#org0;Jesús;gente;1;directed
174;#per1;#org3;Jesús;discípulos;1;directed
175;#per1;#org0;Jesús;gente;1;directed
176;#per1;#org3;Jesús;discípulos;1;directed
177;#per1;#org0;Jesús;gente;1;directed
178;#per1;#org3;Jesús;discípulos;1;directed
179;#per1;#org0;Jesús;gente;1;directed
180;#per1;#org3;Jesús;discípulos;1;directed
181;#per1;#org0;Jesús;gente;1;directed
182;#per1;#org3;Jesús;discípulos;1;directed
183;#per1;#org0;Jesús;gente;1;directed
184;#per1;#org3;Jesús;discípulos;1;directed
185;#per1;#org0;Jesús;gente;1;directed
186;#per1;#per14;Jesús;Dios;1;directed
187;#per1;#org3;Jesús;discípulos;1;directed
188;#per1;#org0;Jesús;gente;1;directed
189;#per1;#per14;Jesús;Dios;1;directed
190;#per1;#org3;Jesús;discípulos;1;directed
191;#per1;#org0;Jesús;gente;1;directed
192;#per1;#per14;Jesús;Dios;1;directed
193;#per1;#org3;Jesús;discípulos;1;directed
194;#per1;#org0;Jesús;gente;1;directed
195;#per1;#per14;Jesús;Dios;1;directed
196;#per1;#org3;Jesús;discípulos;1;directed
197;#per1;#org0;Jesús;gente;1;directed
198;#per1;#per14;Jesús;Dios;1;directed
199;#per1;#org3;Jesús;discípulos;1;directed
200;#per1;#org0;Jesús;gente;1;directed
201;#per1;#org3;Jesús;discípulos;1;directed
202;#per1;#org0;Jesús;gente;1;directed
203;#per1;#org3;Jesús;discípulos;1;directed
204;#per1;#org0;Jesús;gente;1;directed
205;#per1;#org3;Jesús;discípulos;1;directed
206;#per1;#org0;Jesús;gente;1;directed
207;#per1;#org3;Jesús;discípulos;1;directed
208;#per1;#org0;Jesús;gente;1;directed
209;#per1;#org3;Jesús;discípulos;1;directed
210;#per1;#org0;Jesús;gente;1;directed
211;#per1;#org3;Jesús;discípulos;1;directed
212;#per1;#org0;Jesús;gente;1;directed
213;#per1;#org3;Jesús;discípulos;1;directed
214;#per1;#org0;Jesús;gente;1;directed
215;#per1;#org3;Jesús;discípulos;1;directed
216;#per1;#org0;Jesús;gente;1;directed
217;#per1;#org3;Jesús;discípulos;1;directed
218;#per1;#org0;Jesús;gente;1;directed
219;#per1;#org3;Jesús;discípulos;1;directed
220;#per1;#org0;Jesús;gente;1;directed
221;#per1;#org3;Jesús;discípulos;1;directed
222;#per1;#org0;Jesús;gente;1;directed
223;#per1;#org3;Jesús;discípulos;1;directed
224;#per1;#org0;Jesús;gente;1;directed
225;#per1;#org3;Jesús;discípulos;1;directed
226;#per1;#org0;Jesús;gente;1;directed
227;#per1;#org3;Jesús;discípulos;1;directed
228;#per1;#org0;Jesús;gente;1;directed
229;#per1;#org3;Jesús;discípulos;1;directed
230;#per1;#org0;Jesús;gente;1;directed
231;#per1;#org3;Jesús;discípulos;1;directed
232;#per1;#org0;Jesús;gente;1;directed
233;#per1;#org3;Jesús;discípulos;1;directed
234;#per1;#org0;Jesús;gente;1;directed
235;#per1;#org3;Jesús;discípulos;1;directed
236;#per1;#org0;Jesús;gente;1;directed
237;#per1;#org3;Jesús;discípulos;1;directed
238;#per1;#org0;Jesús;gente;1;directed
239;#per1;#org3;Jesús;discípulos;1;directed
240;#per1;#org0;Jesús;gente;1;directed
241;#per1;#org3;Jesús;discípulos;1;directed
242;#per1;#org0;Jesús;gente;1;directed
243;#per1;#org3;Jesús;discípulos;1;directed
244;#per1;#org0;Jesús;gente;1;directed
245;#per1;#org3;Jesús;discípulos;1;directed
246;#per1;#org0;Jesús;gente;1;directed
247;#per1;#org3;Jesús;discípulos;1;directed
248;#per1;#org0;Jesús;gente;1;directed
249;#per1;#org3;Jesús;discípulos;1;directed
250;#per1;#org0;Jesús;gente;1;directed
251;#per1;#org3;Jesús;discípulos;1;directed
252;#per1;#org0;Jesús;gente;1;directed
253;#per1;#org3;Jesús;discípulos;1;directed
254;#per1;#org0;Jesús;gente;1;directed
255;#per1;#org3;Jesús;discípulos;1;directed
256;#per1;#org0;Jesús;gente;1;directed
257;#per1;#org3;Jesús;discípulos;1;directed
258;#per1;#org0;Jesús;gente;1;directed
259;#per1;#org3;Jesús;discípulos;1;directed
260;#per1;#org0;Jesús;gente;1;directed
261;#per1;#org3;Jesús;discípulos;1;directed
262;#per1;#org0;Jesús;gente;1;directed
263;#per1;#org3;Jesús;discípulos;1;directed
264;#per1;#org0;Jesús;gente;1;directed
265;#per1;#org3;Jesús;discípulos;1;directed
266;#per1;#org0;Jesús;gente;1;directed
267;#per1;#org3;Jesús;discípulos;1;directed
268;#per1;#org0;Jesús;gente;1;directed
269;#per1;#org3;Jesús;discípulos;1;directed
270;#per1;#org0;Jesús;gente;1;directed
271;#per1;#org3;Jesús;discípulos;1;directed
272;#per1;#org0;Jesús;gente;1;directed
273;#per1;#org3;Jesús;discípulos;1;directed
274;#per1;#org0;Jesús;gente;1;directed
275;#per1;#org3;Jesús;discípulos;1;directed
276;#per1;#org0;Jesús;gente;1;directed
277;#per1;#org3;Jesús;discípulos;1;directed
278;#per1;#org0;Jesús;gente;1;directed
279;#per1;#org3;Jesús;discípulos;1;directed
280;#per1;#org0;Jesús;gente;1;directed
281;#per1;#org3;Jesús;discípulos;1;directed
282;#per1;#org0;Jesús;gente;1;directed
283;#per1;#org3;Jesús;discípulos;1;directed
284;#per1;#org0;Jesús;gente;1;directed
285;#per1;#org3;Jesús;discípulos;1;directed
286;#per1;#org0;Jesús;gente;1;directed
287;#per1;#org3;Jesús;discípulos;1;directed
288;#per1;#org0;Jesús;gente;1;directed
289;#per1;#org3;Jesús;discípulos;1;directed
290;#per1;#org0;Jesús;gente;1;directed
291;#per1;#org3;Jesús;discípulos;1;directed
292;#per1;#org0;Jesús;gente;1;directed
293;#per1;#org3;Jesús;discípulos;1;directed
294;#per1;#org0;Jesús;gente;1;directed
295;#per1;#per0;Jesús;persona no definida;1;directed
296;#per1;#org0;Jesús;gente;1;directed
297;#per1;#per57;Jesús;Centurión;1;directed
298;#per1;#org0;Jesús;gente;1;directed
299;#per1;#per57;Jesús;Centurión;1;directed
300;#per1;#org0;Jesús;gente;1;directed
301;#per1;#per57;Jesús;Centurión;1;directed
302;#per1;#org0;Jesús;gente;1;directed
303;#per1;#per57;Jesús;Centurión;1;directed
304;#per1;#per57;Jesús;Centurión;1;directed
305;#per1;#org5;Jesús;escribas;1;directed
306;#per1;#org3;Jesús;discípulos;1;directed
307;#per1;#org3;Jesús;discípulos;1;directed
308;#per1;#org6;Jesús;demonio;1;directed
309;#per1;#org15;Jesús;enfermos;1;directed
310;#per1;#org5;Jesús;escribas;1;directed
311;#per1;#org5;Jesús;escribas;1;directed
312;#per1;#org5;Jesús;escribas;1;directed
313;#per1;#org15;Jesús;enfermos;1;directed
314;#per1;#per27;Jesús;Mateo;1;directed
315;#per1;#org2;Jesús;fariseos;1;directed
316;#per1;#org2;Jesús;fariseos;1;directed
317;#per1;#org27;Jesús;discípulos;1;directed
318;#per1;#org27;Jesús;discípulos;1;directed
319;#per1;#org27;Jesús;discípulos;1;directed
320;#per1;#org15;Jesús;enfermos;1;directed
321;#per1;#org0;Jesús;gente;1;directed
322;#per1;#org15;Jesús;enfermos;1;directed
323;#per1;#org15;Jesús;enfermos;1;directed
324;#per1;#org15;Jesús;enfermos;1;directed
325;#per1;#org3;Jesús;discípulos;1;directed
326;#per1;#org3;Jesús;discípulos;1;directed
327;#per1;#org3;Jesús;discípulos;1;directed
328;#per1;#org3;Jesús;discípulos;1;directed
329;#per1;#org3;Jesús;discípulos;1;directed
330;#per1;#org3;Jesús;discípulos;1;directed
331;#per1;#org3;Jesús;discípulos;1;directed
332;#per1;#org3;Jesús;discípulos;1;directed
333;#per1;#org3;Jesús;discípulos;1;directed
334;#per1;#org3;Jesús;discípulos;1;directed
335;#per1;#org3;Jesús;discípulos;1;directed
336;#per1;#org3;Jesús;discípulos;1;directed
337;#per1;#org3;Jesús;discípulos;1;directed
338;#per1;#org3;Jesús;discípulos;1;directed
339;#per1;#org3;Jesús;discípulos;1;directed
340;#per1;#org3;Jesús;discípulos;1;directed
341;#per1;#org3;Jesús;discípulos;1;directed
342;#per1;#org3;Jesús;discípulos;1;directed
343;#per1;#org3;Jesús;discípulos;1;directed
344;#per1;#org3;Jesús;discípulos;1;directed
345;#per1;#org3;Jesús;discípulos;1;directed
346;#per1;#org3;Jesús;discípulos;1;directed
347;#per1;#org3;Jesús;discípulos;1;directed
348;#per1;#org3;Jesús;discípulos;1;directed
349;#per1;#org3;Jesús;discípulos;1;directed
350;#per1;#org3;Jesús;discípulos;1;directed
351;#per1;#org3;Jesús;discípulos;1;directed
352;#per1;#org3;Jesús;discípulos;1;directed
353;#per1;#org3;Jesús;discípulos;1;directed
354;#per1;#org3;Jesús;discípulos;1;directed
355;#per1;#org3;Jesús;discípulos;1;directed
356;#per1;#org3;Jesús;discípulos;1;directed
357;#per1;#org3;Jesús;discípulos;1;directed
358;#per1;#org3;Jesús;discípulos;1;directed
359;#per1;#org3;Jesús;discípulos;1;directed
360;#per1;#org3;Jesús;discípulos;1;directed
361;#per1;#org3;Jesús;discípulos;1;directed
362;#per1;#org3;Jesús;discípulos;1;directed
363;#per1;#org3;Jesús;discípulos;1;directed
364;#per1;#org3;Jesús;discípulos;1;directed
365;#per1;#org27;Jesús;discípulos;1;directed
366;#per1;#org27;Jesús;discípulos;1;directed
367;#per1;#org27;Jesús;discípulos;1;directed
368;#per1;#org0;Jesús;gente;1;directed
369;#per1;#org0;Jesús;gente;1;directed
370;#per1;#org0;Jesús;gente;1;directed
371;#per1;#org0;Jesús;gente;1;directed
372;#per1;#org0;Jesús;gente;1;directed
373;#per1;#org0;Jesús;gente;1;directed
374;#per1;#org0;Jesús;gente;1;directed
375;#per1;#org0;Jesús;gente;1;directed
376;#per1;#org0;Jesús;gente;1;directed
377;#per1;#org0;Jesús;gente;1;directed
378;#per1;#org0;Jesús;gente;1;directed
379;#per1;#org0;Jesús;gente;1;directed
380;#per1;#org0;Jesús;gente;1;directed
381;#per1;#org0;Jesús;gente;1;directed
382;#per1;#org0;Jesús;gente;1;directed
383;#per1;#org0;Jesús;gente;1;directed
384;#per1;#org0;Jesús;gente;1;directed
385;#per1;#per14;Jesús;Dios;1;directed
386;#per1;#per14;Jesús;Dios;1;directed
387;#per1;#org0;Jesús;gente;1;directed
388;#per1;#org0;Jesús;gente;1;directed
389;#per1;#org0;Jesús;gente;1;directed
390;#per1;#org0;Jesús;gente;1;directed
391;#per1;#org2;Jesús;fariseos;1;directed
392;#per1;#org2;Jesús;fariseos;1;directed
393;#per1;#org2;Jesús;fariseos;1;directed
394;#per1;#org2;Jesús;fariseos;1;directed
395;#per1;#org2;Jesús;fariseos;1;directed
396;#per1;#org2;Jesús;fariseos;1;directed
397;#per1;#org2;Jesús;fariseos;1;directed
398;#per1;#org2;Jesús;fariseos;1;directed
399;#per1;#org15;Jesús;enfermos;1;directed
400;#per1;#org2;Jesús;fariseos;1;directed
401;#per1;#org2;Jesús;fariseos;1;directed
402;#per1;#org2;Jesús;fariseos;1;directed
403;#per1;#org2;Jesús;fariseos;1;directed
404;#per1;#org2;Jesús;fariseos;1;directed
405;#per1;#org2;Jesús;fariseos;1;directed
406;#per1;#org2;Jesús;fariseos;1;directed
407;#per1;#org2;Jesús;fariseos;1;directed
408;#per1;#org2;Jesús;fariseos;1;directed
409;#per1;#org2;Jesús;fariseos;1;directed
410;#per1;#org2;Jesús;fariseos;1;directed
411;#per1;#org2;Jesús;fariseos;1;directed
412;#per1;#org2;Jesús;fariseos;1;directed
413;#per1;#org2;Jesús;fariseos;1;directed
414;#per1;#org5;Jesús;escribas;1;directed
415;#per1;#org2;Jesús;fariseos;1;directed
416;#per1;#org5;Jesús;escribas;1;directed
417;#per1;#org2;Jesús;fariseos;1;directed
418;#per1;#org5;Jesús;escribas;1;directed
419;#per1;#org2;Jesús;fariseos;1;directed
420;#per1;#org5;Jesús;escribas;1;directed
421;#per1;#org2;Jesús;fariseos;1;directed
422;#per1;#org5;Jesús;escribas;1;directed
423;#per1;#org2;Jesús;fariseos;1;directed
424;#per1;#org5;Jesús;escribas;1;directed
425;#per1;#org2;Jesús;fariseos;1;directed
426;#per1;#org5;Jesús;escribas;1;directed
427;#per1;#per0;Jesús;persona no definida;1;directed
428;#per1;#per0;Jesús;persona no definida;1;directed
429;#per1;#per0;Jesús;persona no definida;1;directed
430;#per1;#org0;Jesús;gente;1;directed
431;#per1;#org0;Jesús;gente;1;directed
432;#per1;#org0;Jesús;gente;1;directed
433;#per1;#org0;Jesús;gente;1;directed
434;#per1;#org0;Jesús;gente;1;directed
435;#per1;#org0;Jesús;gente;1;directed
436;#per1;#org0;Jesús;gente;1;directed
437;#per1;#org3;Jesús;discípulos;1;directed
438;#per1;#org3;Jesús;discípulos;1;directed
439;#per1;#org3;Jesús;discípulos;1;directed
440;#per1;#org3;Jesús;discípulos;1;directed
441;#per1;#org3;Jesús;discípulos;1;directed
442;#per1;#org3;Jesús;discípulos;1;directed
443;#per1;#org3;Jesús;discípulos;1;directed
444;#per1;#org3;Jesús;discípulos;1;directed
445;#per1;#org3;Jesús;discípulos;1;directed
446;#per1;#org3;Jesús;discípulos;1;directed
447;#per1;#org3;Jesús;discípulos;1;directed
448;#per1;#org3;Jesús;discípulos;1;directed
449;#per1;#org3;Jesús;discípulos;1;directed
450;#per1;#org3;Jesús;discípulos;1;directed
451;#per1;#org3;Jesús;discípulos;1;directed
452;#per1;#org3;Jesús;discípulos;1;directed
453;#per1;#org3;Jesús;discípulos;1;directed
454;#per1;#org3;Jesús;discípulos;1;directed
455;#per1;#org3;Jesús;discípulos;1;directed
456;#per1;#org3;Jesús;discípulos;1;directed
457;#per1;#org3;Jesús;discípulos;1;directed
458;#per1;#org3;Jesús;discípulos;1;directed
459;#per1;#org3;Jesús;discípulos;1;directed
460;#per1;#org3;Jesús;discípulos;1;directed
461;#per1;#org3;Jesús;discípulos;1;directed
462;#per1;#org3;Jesús;discípulos;1;directed
463;#per1;#org3;Jesús;discípulos;1;directed
464;#per1;#org3;Jesús;discípulos;1;directed
465;#per1;#org3;Jesús;discípulos;1;directed
466;#per1;#org3;Jesús;discípulos;1;directed
467;#per1;#org3;Jesús;discípulos;1;directed
468;#per1;#org3;Jesús;discípulos;1;directed
469;#per1;#org3;Jesús;discípulos;1;directed
470;#per1;#org3;Jesús;discípulos;1;directed
471;#per1;#org3;Jesús;discípulos;1;directed
472;#per1;#org3;Jesús;discípulos;1;directed
473;#per1;#org3;Jesús;discípulos;1;directed
474;#per1;#org3;Jesús;discípulos;1;directed
475;#per1;#org3;Jesús;discípulos;1;directed
476;#per1;#org0;Jesús;gente;1;directed
477;#per1;#org3;Jesús;discípulos;1;directed
478;#per1;#org3;Jesús;discípulos;1;directed
479;#per1;#org3;Jesús;discípulos;1;directed
480;#per1;#per21;Jesús;Simón Pedro;1;directed
481;#per1;#per21;Jesús;Simón Pedro;1;directed
482;#per1;#org2;Jesús;fariseos;1;directed
483;#per1;#org5;Jesús;escribas;1;directed
484;#per1;#org2;Jesús;fariseos;1;directed
485;#per1;#org5;Jesús;escribas;1;directed
486;#per1;#org2;Jesús;fariseos;1;directed
487;#per1;#org5;Jesús;escribas;1;directed
488;#per1;#org2;Jesús;fariseos;1;directed
489;#per1;#org5;Jesús;escribas;1;directed
490;#per1;#org2;Jesús;fariseos;1;directed
491;#per1;#org5;Jesús;escribas;1;directed
492;#per1;#org2;Jesús;fariseos;1;directed
493;#per1;#org5;Jesús;escribas;1;directed
494;#per1;#org2;Jesús;fariseos;1;directed
495;#per1;#org5;Jesús;escribas;1;directed
496;#per1;#org0;Jesús;gente;1;directed
497;#per1;#org0;Jesús;gente;1;directed
498;#per1;#org3;Jesús;discípulos;1;directed
499;#per1;#org3;Jesús;discípulos;1;directed
500;#per1;#org3;Jesús;discípulos;1;directed
501;#per1;#org3;Jesús;discípulos;1;directed
502;#per1;#org3;Jesús;discípulos;1;directed
503;#per1;#org3;Jesús;discípulos;1;directed
504;#per1;#org3;Jesús;discípulos;1;directed
505;#per1;#org3;Jesús;discípulos;1;directed
506;#per1;#per0;Jesús;persona no definida;1;directed
507;#per1;#per0;Jesús;persona no definida;1;directed
508;#per1;#org3;Jesús;discípulos;1;directed
509;#per1;#org3;Jesús;discípulos;1;directed
510;#per1;#per1;Jesús;Jesús;1;directed
511;#per1;#org2;Jesús;fariseos;1;directed
512;#per1;#org7;Jesús;saduceos;1;directed
513;#per1;#org2;Jesús;fariseos;1;directed
514;#per1;#org7;Jesús;saduceos;1;directed
515;#per1;#org2;Jesús;fariseos;1;directed
516;#per1;#org7;Jesús;saduceos;1;directed
517;#per1;#org3;Jesús;discípulos;1;directed
518;#per1;#org3;Jesús;discípulos;1;directed
519;#per1;#org3;Jesús;discípulos;1;directed
520;#per1;#org3;Jesús;discípulos;1;directed
521;#per1;#org3;Jesús;discípulos;1;directed
522;#per1;#org3;Jesús;discípulos;1;directed
523;#per1;#org3;Jesús;discípulos;1;directed
524;#per1;#per21;Jesús;Simón Pedro;1;directed
525;#per1;#per21;Jesús;Simón Pedro;1;directed
526;#per1;#per21;Jesús;Simón Pedro;1;directed
527;#per1;#per21;Jesús;Simón Pedro;1;directed
528;#per1;#org3;Jesús;discípulos;1;directed
529;#per1;#org3;Jesús;discípulos;1;directed
530;#per1;#org3;Jesús;discípulos;1;directed
531;#per1;#org3;Jesús;discípulos;1;directed
532;#per1;#org3;Jesús;discípulos;1;directed
533;#per1;#per21;Jesús;Simón Pedro;1;directed
534;#per1;#per4;Jesús;Jacob;1;directed
535;#per1;#per25;Jesús;Juan;1;directed
536;#per1;#per21;Jesús;Simón Pedro;1;directed
537;#per1;#per4;Jesús;Jacob;1;directed
538;#per1;#per25;Jesús;Juan;1;directed
539;#per1;#org3;Jesús;discípulos;1;directed
540;#per1;#org3;Jesús;discípulos;1;directed
541;#per1;#org0;Jesús;gente;1;directed
542;#per1;#org3;Jesús;discípulos;1;directed
543;#per1;#org3;Jesús;discípulos;1;directed
544;#per1;#org3;Jesús;discípulos;1;directed
545;#per1;#org3;Jesús;discípulos;1;directed
546;#per1;#per21;Jesús;Simón Pedro;1;directed
547;#per1;#per21;Jesús;Simón Pedro;1;directed
548;#per1;#per21;Jesús;Simón Pedro;1;directed
549;#per1;#org3;Jesús;discípulos;1;directed
550;#per1;#org3;Jesús;discípulos;1;directed
551;#per1;#org3;Jesús;discípulos;1;directed
552;#per1;#org3;Jesús;discípulos;1;directed
553;#per1;#org3;Jesús;discípulos;1;directed
554;#per1;#org3;Jesús;discípulos;1;directed
555;#per1;#org3;Jesús;discípulos;1;directed
556;#per1;#org3;Jesús;discípulos;1;directed
557;#per1;#org3;Jesús;discípulos;1;directed
558;#per1;#org3;Jesús;discípulos;1;directed
559;#per1;#org3;Jesús;discípulos;1;directed
560;#per1;#org3;Jesús;discípulos;1;directed
561;#per1;#org3;Jesús;discípulos;1;directed
562;#per1;#org3;Jesús;discípulos;1;directed
563;#per1;#org3;Jesús;discípulos;1;directed
564;#per1;#org3;Jesús;discípulos;1;directed
565;#per1;#org3;Jesús;discípulos;1;directed
566;#per1;#org3;Jesús;discípulos;1;directed
567;#per1;#per21;Jesús;Simón Pedro;1;directed
568;#per1;#org3;Jesús;discípulos;1;directed
