	code	i	title	viaf	verses	chapters	pericopes	entities referenced	mq-ent-id-1	mq-ent-freq-1	mq-ent-id-2	mq-ent-freq-2	pers	pla	org	wor	tim	diff org	diff pers	diff pla	diff tim	diff toWhom ent	diff who ent	diff wor	rs	mean of rs	median of rs	std of rs	1st percentile rs	100th percentile rs	q	mean of q	median of q	std of q	1st percentile q	100th percentile q	1st-lev-q	2nd-lev-q	3rd-lev-q	4th-lev-q	5th-lev-q	mf-ent-freq-org	mf-ent-freq-pers	mf-ent-freq-pla	mf-ent-freq-tim	mf-ent-freq-wor	mf-ent-id-org	mf-ent-id-pers	mf-ent-id-pla	mf-ent-id-tim	mf-ent-id-wor	q-dream	q-oath	q-oral	q-prayer	q-song	q-written	toWhom ent	who ent
LUK	LUK	27	Lucas	175769882	132	2	11	323	#per14	50	#per1	32	216	40	57	6	4	23	25	12	1	11	11	1	132	2.4393939393939394	2.0	1.9740978256678416	0	11	132	0.5151515151515151	1.0	0.501674272914764	0	1	68	0	0	0	0	9	50	7	4	6	#org0	#per14	#pla3	#tim5	#wor1	0	12	38	4	11	3	69	66
JOH	JOH	28	Evangelio de Juan	186698679	879	21	82	1524	#per1	467	#per14	218	1032	157	262	25	48	18	41	30	10	35	32	2	879	1.7292377701934016	1.0	1.5248729695425425	0	10	879	0.8293515358361775	1.0	0.6171456176719134	0	4	693	35	1	0	0	71	467	19	14	24	#org13	#per1	#pla18	#tim5	#wor1	0	0	635	30	0	11	805	737
ACT	ACT	29	Hechos	174983206	1007	28	79	2705	#per504	219	#per14	211	1341	562	764	29	9	51	135	117	5	62	61	3	1007	2.65441906653426	2.0	1.9934629337772647	0	16	1007	0.6236345580933466	1.0	0.7038360507952007	0	4	539	71	18	0	0	89	219	68	3	27	#org37	#per504	#pla3	#tim17	#wor1	1	0	577	8	0	42	795	652
ROM	ROM	30	Romans	181440270	433	16	36	824	#per14	189	#per1	117	454	38	263	67	2	26	54	15	2	10	11	1	433	1.8914549653579678	2.0	1.6428143079477184	0	10	433	0.20323325635103925	0.0	0.5360077766872723	0	3	63	24	1	0	0	49	189	10	1	67	#org0	#per14	#pla4	#tim2	#wor1	0	0	28	4	0	49	56	51
1CO	1CO	31	1 Corintios	179420235	437	16	29	768	#per1	152	#per14	123	367	24	358	14	5	27	20	15	4	2	6	1	437	1.7482837528604118	1.0	1.795963371859547	0	10	437	0.06864988558352403	0.0	0.33844118996563327	0	4	28	2	0	0	0	48	152	4	2	14	#org122	#per1	#pla18	#tim2	#wor1	0	0	4	0	0	11	20	16
2CO	2CO	32	2 Corintios	181845414	257	13	26	367	#per14	89	#per1	86	231	25	105	5	1	16	13	11	1	2	2	1	257	1.416342412451362	1.0	1.6086331565325016	0	11	257	0.042801556420233464	0.0	0.25410061122037486	0	2	8	3	0	0	0	23	89	7	1	5	#org18	#per14	#pla199	#tim2	#wor9	0	0	5	0	0	6	6	5
PHM	PHM	33	Filemón	179022987	25	1	4	53	#per1	13	#per14	6	50	0	3	0	0	2	13	0	0	0	0	0	25	2.0	2.0	1.9790570145063195	0	7	25	0.0	0.0	0.0	0	0	0	0	0	0	0	2	13	-	-	-	#org18	#per1	-	-	-	0	0	0	0	0	0	0	0
JAM	JAM	34	Santiago	182251478	71	3	8	91	#per14	16	#org22	15	32	1	52	6	0	8	7	1	0	4	3	1	71	1.2816901408450705	1.0	1.455856140769305	0	6	71	0.1267605633802817	0.0	0.47598251662936203	0	3	9	0	0	0	0	15	16	1	-	6	#org22	#per14	#pla15	-	#wor1	0	0	0	0	0	4	9	9
1PE	1PE	35	1 Pedro	198582656	105	5	14	189	#per14	48	#per1	34	107	11	68	1	2	12	14	9	1	1	3	1	105	1.7619047619047619	2.0	1.5160919492348734	0	9	105	0.0761904761904762	0.0	0.2665750758459445	0	1	8	0	0	0	0	32	48	3	2	1	#org37	#per14	#pla18	#tim2	#wor1	0	0	4	0	0	2	6	6
2PE	2PE	36	2 Pedro	4320148523903720970004	61	3	5	119	#per1	24	#org19	17	58	14	35	3	9	9	13	6	2	1	3	2	61	1.8688524590163935	2.0	1.6680868266376863	0	8	61	0.04918032786885246	0.0	0.21803894974650143	0	1	3	0	0	0	0	17	24	4	7	2	#org19	#per1	#pla41	#tim2	#wor1	0	0	2	0	0	0	3	3
1JO	1JO	37	1 epístola de Juan	180630929	105	5	11	256	#per14	86	#per1	48	163	2	74	5	12	6	7	2	2	1	3	1	105	2.380952380952381	2.0	1.9033419615798477	0	7	105	0.02857142857142857	0.0	0.16739766432653122	0	1	3	0	0	0	0	39	86	1	9	5	#org0	#per14	#pla41	#tim3	#wor1	0	0	3	0	0	0	3	3
2JO	2JO	38	2 epístola de Juan	180630929	13	1	3	26	#per1	7	#per14	6	15	0	9	0	2	3	4	0	1	1	1	0	13	2.0	2.0	2.0816659994661326	0	6	13	0.15384615384615385	0.0	0.3755338080994054	0	1	2	0	0	0	0	5	7	-	2	-	#org37	#per1	-	#tim3	-	0	0	2	0	0	0	2	2
3JO	3JO	39	3 epístola de Juan	180630929	14	1	5	21	#org18	6	#per843	5	11	0	10	0	0	3	5	0	0	0	0	0	14	1.5	1.5	0.9405399431259602	0	3	14	0.0	0.0	0.0	0	0	0	0	0	0	0	6	5	-	-	-	#org18	#per843	-	-	-	0	0	0	0	0	0	0	0
JUD	JUD	40	Epístola de Judas	181851752	25	1	4	68	#org19	13	#per14	12	36	7	24	0	1	7	13	4	1	3	3	0	25	2.72	2.0	2.3007245235649862	0	10	25	0.16	0.0	0.3741657386773941	0	1	4	0	0	0	0	13	12	4	1	-	#org19	#per14	#pla15	#tim2	-	0	0	1	0	0	3	4	4
REV	REV	41	Apocalipsis	181843323	404	22	39	788	#per14	154	#per1	102	374	126	257	28	3	32	25	24	2	15	11	2	404	1.8316831683168318	1.0	1.8279294822756613	0	14	404	0.6386138613861386	0.0	0.7475976807175989	0	3	198	59	1	0	0	84	154	31	2	15	#org4	#per14	#pla18	#tim2	#wor4	0	0	179	24	0	54	260	265
